,time[ms],cpu_load,cpu_scaling_freq,cpu,sitename
5,500,0.9090909090909092,1708.0,6,vimeo
6,600,0.7272727272727273,1708.0,6,vimeo
7,700,0.8181818181818182,1708.0,6,vimeo
8,800,0.75,1708.0,6,vimeo
9,900,,,6,vimeo
10,1000,,1708.0,6,vimeo
11,1100,0.6666666666666666,1708.0,6,vimeo
12,1200,0.8333333333333334,1708.0,6,vimeo
13,1300,,,6,vimeo
14,1400,,1708.0,6,vimeo
15,1500,0.8333333333333334,1708.0,6,vimeo
16,1600,0.875,1708.0,6,vimeo
17,1700,0.8,1708.0,6,vimeo
18,1800,0.875,1708.0,6,vimeo
19,1900,0.8571428571428571,1708.0,6,vimeo
20,2000,,,6,vimeo
21,2100,,1708.0,6,vimeo
22,2200,,,6,vimeo
23,2300,,1708.0,6,vimeo
24,2400,0.8,1708.0,6,vimeo
25,2500,0.8461538461538461,1708.0,6,vimeo
26,2600,0.8888888888888888,1708.0,6,vimeo
27,2700,0.8,1708.0,6,vimeo
28,2800,,,6,vimeo
29,2900,,1708.0,6,vimeo
30,3000,0.8666666666666667,1708.0,6,vimeo
31,3100,,,6,vimeo
32,3200,,1708.0,6,vimeo
33,3300,0.7368421052631579,1708.0,6,vimeo
34,3400,,,6,vimeo
35,3500,,1708.0,6,vimeo
36,3600,0.5555555555555556,1708.0,6,vimeo
37,3700,0.9090909090909092,1708.0,6,vimeo
38,3800,0.8,1708.0,6,vimeo
39,3900,0.875,1708.0,6,vimeo
40,4000,0.7692307692307693,1708.0,6,vimeo
41,4100,0.7857142857142857,1708.0,6,vimeo
42,4200,,,6,vimeo
43,4300,,1516.0,6,vimeo
44,4400,0.7272727272727273,1708.0,6,vimeo
45,4500,0.8333333333333334,1708.0,6,vimeo
46,4600,0.7777777777777778,1708.0,6,vimeo
47,4700,0.8333333333333334,1708.0,6,vimeo
48,4800,0.7777777777777778,1708.0,6,vimeo
49,4900,0.8333333333333334,1708.0,6,vimeo
50,5000,0.7777777777777778,1708.0,6,vimeo
51,5100,0.8,1708.0,6,vimeo
52,5200,0.7777777777777778,1708.0,6,vimeo
53,5300,0.8181818181818182,1708.0,6,vimeo
54,5400,0.8571428571428571,1708.0,6,vimeo
55,5500,,,6,vimeo
56,5600,,1708.0,6,vimeo
57,5700,0.7857142857142857,1708.0,6,vimeo
58,5800,0.7,1708.0,6,vimeo
59,5900,0.7272727272727273,1708.0,6,vimeo
60,6000,0.8888888888888888,1708.0,6,vimeo
61,6100,0.8461538461538461,1708.0,6,vimeo
62,6200,,,6,vimeo
63,6300,,1708.0,6,vimeo
64,6400,0.6666666666666666,1708.0,6,vimeo
65,6500,0.8888888888888888,1708.0,6,vimeo
66,6600,0.7692307692307693,1708.0,6,vimeo
67,6700,0.7777777777777778,1708.0,6,vimeo
68,6800,,,6,vimeo
69,6900,,1708.0,6,vimeo
70,7000,0.8571428571428571,1708.0,6,vimeo
71,7100,0.8888888888888888,1708.0,6,vimeo
72,7200,0.7272727272727273,1708.0,6,vimeo
73,7300,0.8,1708.0,6,vimeo
74,7400,0.7857142857142857,1708.0,6,vimeo
75,7500,0.8181818181818182,1708.0,6,vimeo
76,7600,0.7777777777777778,1708.0,6,vimeo
77,7700,0.8181818181818182,1708.0,6,vimeo
78,7800,0.7777777777777778,1708.0,6,vimeo
79,7900,0.8181818181818182,1708.0,6,vimeo
0,0,,1708.0,6,vimeo
1,100,1.0,1708.0,6,vimeo
2,200,0.9,1708.0,6,vimeo
3,300,0.7692307692307693,1708.0,6,vimeo
4,400,0.6666666666666666,1708.0,6,vimeo
5,500,0.7,1708.0,6,vimeo
6,600,0.7777777777777778,1708.0,6,vimeo
7,700,0.7857142857142857,1708.0,6,vimeo
8,800,0.9090909090909092,1708.0,6,vimeo
9,900,,,6,vimeo
10,1000,,1708.0,6,vimeo
11,1100,1.0,1708.0,6,vimeo
12,1200,0.7272727272727273,1708.0,6,vimeo
13,1300,0.8461538461538461,1708.0,6,vimeo
14,1400,,,6,vimeo
15,1500,,1708.0,6,vimeo
16,1600,0.8333333333333334,1708.0,6,vimeo
17,1700,1.0,1708.0,6,vimeo
18,1800,,,6,vimeo
19,1900,,1708.0,6,vimeo
20,2000,0.9230769230769232,1708.0,6,vimeo
21,2100,0.9230769230769232,1708.0,6,vimeo
22,2200,,,6,vimeo
23,2300,,1708.0,6,vimeo
24,2400,0.7272727272727273,1708.0,6,vimeo
25,2500,0.9090909090909092,1708.0,6,vimeo
26,2600,0.9090909090909092,1708.0,6,vimeo
27,2700,0.6,1708.0,6,vimeo
28,2800,1.0,1708.0,6,vimeo
29,2900,0.8181818181818182,1708.0,6,vimeo
30,3000,0.9166666666666666,1708.0,6,vimeo
31,3100,,,6,vimeo
32,3200,,1708.0,6,vimeo
33,3300,0.9166666666666666,1708.0,6,vimeo
34,3400,0.8181818181818182,1708.0,6,vimeo
35,3500,0.8181818181818182,1708.0,6,vimeo
36,3600,0.8,1708.0,6,vimeo
37,3700,0.75,1708.0,6,vimeo
38,3800,0.8333333333333334,1708.0,6,vimeo
39,3900,0.8571428571428571,1708.0,6,vimeo
40,4000,0.6666666666666666,1708.0,6,vimeo
41,4100,0.6666666666666666,1708.0,6,vimeo
42,4200,,,6,vimeo
43,4300,,1708.0,6,vimeo
44,4400,0.6,1708.0,6,vimeo
45,4500,0.8181818181818182,1708.0,6,vimeo
46,4600,0.8333333333333334,1708.0,6,vimeo
47,4700,0.7272727272727273,1708.0,6,vimeo
48,4800,,,6,vimeo
49,4900,,,6,vimeo
50,5000,,,6,vimeo
51,5100,,,6,vimeo
52,5200,,,6,vimeo
53,5300,,,6,vimeo
54,5400,,,6,vimeo
55,5500,,,6,vimeo
56,5600,,,6,vimeo
57,5700,,,6,vimeo
58,5800,,,6,vimeo
59,5900,,,6,vimeo
60,6000,,,6,vimeo
61,6100,,,6,vimeo
62,6200,,,6,vimeo
63,6300,,,6,vimeo
64,6400,,,6,vimeo
65,6500,,1708.0,6,vimeo
66,6600,0.14367816091954022,1708.0,6,vimeo
67,6700,0.8461538461538461,1708.0,6,vimeo
68,6800,1.0,1708.0,6,vimeo
69,6900,0.7777777777777778,1708.0,6,vimeo
70,7000,0.8,1708.0,6,vimeo
71,7100,0.9230769230769232,1708.0,6,vimeo
72,7200,0.7692307692307693,1708.0,6,vimeo
73,7300,,,6,vimeo
74,7400,,1708.0,6,vimeo
75,7500,,,6,vimeo
76,7600,,1708.0,6,vimeo
77,7700,0.8333333333333334,1708.0,6,vimeo
78,7800,,,6,vimeo
79,7900,,1708.0,6,vimeo
0,0,,1708.0,6,vimeo
1,100,,,6,vimeo
2,200,,1708.0,6,vimeo
3,300,0.6428571428571429,1708.0,6,vimeo
4,400,0.5882352941176471,1708.0,6,vimeo
5,500,0.7,1708.0,6,vimeo
6,600,,,6,vimeo
7,700,,1708.0,6,vimeo
8,800,0.8571428571428571,1708.0,6,vimeo
9,900,,,6,vimeo
10,1000,,1708.0,6,vimeo
11,1100,0.9285714285714286,1708.0,6,vimeo
12,1200,0.8181818181818182,1708.0,6,vimeo
13,1300,,,6,vimeo
14,1400,,1708.0,6,vimeo
15,1500,0.6666666666666666,1708.0,6,vimeo
16,1600,0.8181818181818182,1708.0,6,vimeo
17,1700,0.9090909090909092,1708.0,6,vimeo
18,1800,0.8,1708.0,6,vimeo
19,1900,,,6,vimeo
20,2000,,1708.0,6,vimeo
21,2100,0.9411764705882352,1708.0,6,vimeo
22,2200,0.9285714285714286,1708.0,6,vimeo
23,2300,0.8181818181818182,1708.0,6,vimeo
24,2400,,,6,vimeo
25,2500,,1708.0,6,vimeo
26,2600,0.7333333333333333,1708.0,6,vimeo
27,2700,,,6,vimeo
28,2800,,1708.0,6,vimeo
29,2900,0.9285714285714286,1708.0,6,vimeo
30,3000,0.8181818181818182,1708.0,6,vimeo
31,3100,,,6,vimeo
32,3200,,1708.0,6,vimeo
33,3300,0.8571428571428571,1708.0,6,vimeo
34,3400,0.75,1612.0,6,vimeo
35,3500,,,6,vimeo
36,3600,,1708.0,6,vimeo
37,3700,,,6,vimeo
38,3800,,1708.0,6,vimeo
39,3900,0.7777777777777778,1708.0,6,vimeo
40,4000,0.7692307692307693,1708.0,6,vimeo
41,4100,0.8181818181818182,1708.0,6,vimeo
42,4200,0.8,1708.0,6,vimeo
43,4300,0.9,1708.0,6,vimeo
44,4400,0.8181818181818182,1708.0,6,vimeo
45,4500,0.8,1708.0,6,vimeo
46,4600,,,6,vimeo
47,4700,,1708.0,6,vimeo
48,4800,0.75,1708.0,6,vimeo
49,4900,0.7,1708.0,6,vimeo
50,5000,,,6,vimeo
51,5100,,1708.0,6,vimeo
52,5200,0.9696969696969696,1708.0,6,vimeo
53,5300,0.6666666666666666,1708.0,6,vimeo
54,5400,,,6,vimeo
55,5500,,1612.0,6,vimeo
56,5600,0.9166666666666666,1708.0,6,vimeo
57,5700,0.9166666666666666,1708.0,6,vimeo
58,5800,0.8,1708.0,6,vimeo
59,5900,0.8461538461538461,1708.0,6,vimeo
60,6000,,,6,vimeo
61,6100,,1708.0,6,vimeo
62,6200,0.7037037037037037,1708.0,6,vimeo
63,6300,,,6,vimeo
64,6400,,1708.0,6,vimeo
65,6500,0.8,1708.0,6,vimeo
66,6600,,,6,vimeo
67,6700,,1708.0,6,vimeo
68,6800,0.5,1708.0,6,vimeo
69,6900,0.7272727272727273,1708.0,6,vimeo
70,7000,0.8888888888888888,1708.0,6,vimeo
71,7100,0.9090909090909092,1708.0,6,vimeo
72,7200,0.8,1708.0,6,vimeo
73,7300,0.8333333333333334,1708.0,6,vimeo
74,7400,0.6363636363636364,1708.0,6,vimeo
75,7500,0.9,1708.0,6,vimeo
76,7600,,,6,vimeo
77,7700,,1708.0,6,vimeo
78,7800,,,6,vimeo
79,7900,,1708.0,6,vimeo
80,8000,0.7272727272727273,1708.0,6,vimeo
0,0,,1708.0,6,vimeo
1,100,,,6,vimeo
2,200,,1708.0,6,vimeo
3,300,0.7333333333333333,1708.0,6,vimeo
4,400,,,6,vimeo
5,500,,1708.0,6,vimeo
6,600,0.9166666666666666,1708.0,6,vimeo
7,700,0.8,1612.0,6,vimeo
8,800,0.9,1708.0,6,vimeo
9,900,0.9,1708.0,6,vimeo
10,1000,0.8181818181818182,1708.0,6,vimeo
11,1100,0.8571428571428571,1708.0,6,vimeo
12,1200,0.8888888888888888,1708.0,6,vimeo
13,1300,,,6,vimeo
14,1400,,1708.0,6,vimeo
15,1500,0.8333333333333334,1708.0,6,vimeo
16,1600,0.9285714285714286,1708.0,6,vimeo
17,1700,0.8333333333333334,1708.0,6,vimeo
18,1800,1.0,1708.0,6,vimeo
19,1900,,,6,vimeo
20,2000,,1708.0,6,vimeo
21,2100,,,6,vimeo
22,2200,,1708.0,6,vimeo
23,2300,1.0,1708.0,6,vimeo
24,2400,0.7777777777777778,1708.0,6,vimeo
25,2500,0.8333333333333334,1708.0,6,vimeo
26,2600,0.7692307692307693,1708.0,6,vimeo
27,2700,,,6,vimeo
28,2800,,1708.0,6,vimeo
29,2900,0.8,1708.0,6,vimeo
30,3000,,,6,vimeo
31,3100,,1708.0,6,vimeo
32,3200,0.9230769230769232,1612.0,6,vimeo
33,3300,0.7,1708.0,6,vimeo
34,3400,0.8181818181818182,1708.0,6,vimeo
35,3500,0.75,1708.0,6,vimeo
36,3600,0.6923076923076923,1708.0,6,vimeo
37,3700,0.6363636363636364,1708.0,6,vimeo
38,3800,,,6,vimeo
39,3900,,1708.0,6,vimeo
40,4000,0.7142857142857143,1708.0,6,vimeo
41,4100,0.9230769230769232,1708.0,6,vimeo
42,4200,0.8888888888888888,1708.0,6,vimeo
43,4300,,,6,vimeo
44,4400,,1708.0,6,vimeo
45,4500,0.75,1708.0,6,vimeo
46,4600,0.8333333333333334,1708.0,6,vimeo
47,4700,0.75,1708.0,6,vimeo
48,4800,0.8888888888888888,1708.0,6,vimeo
49,4900,0.75,1708.0,6,vimeo
50,5000,0.8,1708.0,6,vimeo
51,5100,0.9,1708.0,6,vimeo
52,5200,0.8461538461538461,1708.0,6,vimeo
53,5300,0.75,1708.0,6,vimeo
54,5400,0.7,1708.0,6,vimeo
55,5500,0.6363636363636364,1708.0,6,vimeo
56,5600,,,6,vimeo
57,5700,,,6,vimeo
58,5800,,,6,vimeo
59,5900,,,6,vimeo
60,6000,,,6,vimeo
61,6100,,,6,vimeo
62,6200,,,6,vimeo
63,6300,,,6,vimeo
64,6400,,,6,vimeo
65,6500,,,6,vimeo
66,6600,,,6,vimeo
67,6700,,,6,vimeo
68,6800,,,6,vimeo
69,6900,,,6,vimeo
70,7000,,,6,vimeo
71,7100,,,6,vimeo
72,7200,,1708.0,6,vimeo
73,7300,,,6,vimeo
74,7400,,1708.0,6,vimeo
75,7500,0.8181818181818182,1708.0,6,vimeo
76,7600,0.7272727272727273,1708.0,6,vimeo
77,7700,0.8,1708.0,6,vimeo
78,7800,0.9,1708.0,6,vimeo
79,7900,0.8888888888888888,1708.0,6,vimeo
80,8000,0.8461538461538461,1708.0,6,vimeo
0,0,,1708.0,6,vimeo
1,100,1.0,1708.0,6,vimeo
2,200,0.8181818181818182,1708.0,6,vimeo
3,300,0.6666666666666666,1708.0,6,vimeo
4,400,0.7777777777777778,1708.0,6,vimeo
5,500,0.9,1708.0,6,vimeo
6,600,,,6,vimeo
7,700,,1708.0,6,vimeo
8,800,0.6111111111111112,1708.0,6,vimeo
9,900,0.8461538461538461,1708.0,6,vimeo
10,1000,,,6,vimeo
11,1100,,1708.0,6,vimeo
12,1200,0.8666666666666667,1708.0,6,vimeo
13,1300,0.8181818181818182,1708.0,6,vimeo
14,1400,0.9230769230769232,1708.0,6,vimeo
15,1500,,,6,vimeo
16,1600,,1708.0,6,vimeo
17,1700,0.8333333333333334,1708.0,6,vimeo
18,1800,,,6,vimeo
19,1900,,1708.0,6,vimeo
20,2000,1.0,1708.0,6,vimeo
21,2100,0.8571428571428571,1708.0,6,vimeo
22,2200,,,6,vimeo
23,2300,,1708.0,6,vimeo
24,2400,0.9230769230769232,1708.0,6,vimeo
25,2500,0.75,1708.0,6,vimeo
26,2600,0.7,1708.0,6,vimeo
27,2700,,,6,vimeo
28,2800,,1708.0,6,vimeo
29,2900,0.5,1708.0,6,vimeo
30,3000,,,6,vimeo
31,3100,,1708.0,6,vimeo
32,3200,0.9090909090909092,1708.0,6,vimeo
33,3300,0.8461538461538461,1708.0,6,vimeo
34,3400,0.6666666666666666,1708.0,6,vimeo
35,3500,0.9166666666666666,1708.0,6,vimeo
36,3600,,,6,vimeo
37,3700,,1708.0,6,vimeo
38,3800,0.7,1708.0,6,vimeo
39,3900,0.5789473684210527,1708.0,6,vimeo
40,4000,0.8888888888888888,1708.0,6,vimeo
41,4100,0.7777777777777778,1708.0,6,vimeo
42,4200,,,6,vimeo
43,4300,,1708.0,6,vimeo
44,4400,0.8333333333333334,1708.0,6,vimeo
45,4500,0.7857142857142857,1708.0,6,vimeo
46,4600,0.9,1708.0,6,vimeo
47,4700,0.7692307692307693,1708.0,6,vimeo
48,4800,0.8181818181818182,1708.0,6,vimeo
49,4900,,,6,vimeo
50,5000,,1708.0,6,vimeo
51,5100,0.7,1708.0,6,vimeo
52,5200,0.8461538461538461,1708.0,6,vimeo
53,5300,0.6,1708.0,6,vimeo
54,5400,0.875,1708.0,6,vimeo
55,5500,0.9,1708.0,6,vimeo
56,5600,0.8333333333333334,1708.0,6,vimeo
57,5700,0.8,1708.0,6,vimeo
58,5800,,,6,vimeo
59,5900,,1708.0,6,vimeo
60,6000,0.6875,1708.0,6,vimeo
61,6100,0.6666666666666666,1708.0,6,vimeo
62,6200,0.9166666666666666,1708.0,6,vimeo
63,6300,,,6,vimeo
64,6400,,1708.0,6,vimeo
65,6500,0.7857142857142857,1708.0,6,vimeo
66,6600,0.8181818181818182,1708.0,6,vimeo
67,6700,0.8,1708.0,6,vimeo
68,6800,,,6,vimeo
69,6900,,1708.0,6,vimeo
70,7000,,,6,vimeo
71,7100,,1708.0,6,vimeo
72,7200,0.8,1708.0,6,vimeo
73,7300,0.7,1708.0,6,vimeo
74,7400,0.8,1708.0,6,vimeo
75,7500,0.8888888888888888,1708.0,6,vimeo
76,7600,0.6666666666666666,1708.0,6,vimeo
77,7700,0.7272727272727273,1708.0,6,vimeo
78,7800,0.6666666666666666,1708.0,6,vimeo
79,7900,0.8461538461538461,1612.0,6,vimeo
0,0,,1708.0,6,vimeo
1,100,1.0,1708.0,6,vimeo
2,200,1.0,1708.0,6,vimeo
3,300,0.4444444444444444,1708.0,6,vimeo
4,400,0.7142857142857143,1708.0,6,vimeo
5,500,0.8181818181818182,1708.0,6,vimeo
6,600,0.7857142857142857,1708.0,6,vimeo
7,700,,,6,vimeo
8,800,,1708.0,6,vimeo
9,900,0.8333333333333334,1708.0,6,vimeo
10,1000,0.75,1708.0,6,vimeo
11,1100,1.0,1708.0,6,vimeo
12,1200,,,6,vimeo
13,1300,,1708.0,6,vimeo
14,1400,0.8571428571428571,1708.0,6,vimeo
15,1500,0.8333333333333334,1708.0,6,vimeo
16,1600,0.8125,1708.0,6,vimeo
17,1700,,,6,vimeo
18,1800,,1708.0,6,vimeo
19,1900,0.9230769230769232,1708.0,6,vimeo
20,2000,0.9166666666666666,1708.0,6,vimeo
21,2100,,,6,vimeo
22,2200,,1708.0,6,vimeo
23,2300,1.0,1708.0,6,vimeo
24,2400,0.9333333333333332,1708.0,6,vimeo
25,2500,,,6,vimeo
26,2600,,1708.0,6,vimeo
27,2700,0.8333333333333334,1708.0,6,vimeo
28,2800,0.7692307692307693,1708.0,6,vimeo
29,2900,0.8333333333333334,1708.0,6,vimeo
30,3000,0.9166666666666666,1708.0,6,vimeo
31,3100,,,6,vimeo
32,3200,,1708.0,6,vimeo
33,3300,0.8571428571428571,1708.0,6,vimeo
34,3400,0.9230769230769232,1708.0,6,vimeo
35,3500,0.7777777777777778,1708.0,6,vimeo
36,3600,0.6666666666666666,1708.0,6,vimeo
37,3700,0.7,1708.0,6,vimeo
38,3800,0.9,1708.0,6,vimeo
39,3900,0.8,1708.0,6,vimeo
40,4000,,,6,vimeo
41,4100,,1708.0,6,vimeo
42,4200,,,6,vimeo
43,4300,,1708.0,6,vimeo
44,4400,0.6428571428571429,1708.0,6,vimeo
45,4500,0.8181818181818182,1708.0,6,vimeo
46,4600,0.7777777777777778,1708.0,6,vimeo
47,4700,0.8,1612.0,6,vimeo
48,4800,0.7916666666666666,1708.0,6,vimeo
49,4900,,,6,vimeo
50,5000,,1708.0,6,vimeo
51,5100,0.75,1708.0,6,vimeo
52,5200,0.7857142857142857,1708.0,6,vimeo
53,5300,0.9166666666666666,1708.0,6,vimeo
54,5400,0.8,1708.0,6,vimeo
55,5500,0.75,1708.0,6,vimeo
56,5600,,,6,vimeo
57,5700,,1708.0,6,vimeo
58,5800,0.8333333333333334,1612.0,6,vimeo
59,5900,0.625,1708.0,6,vimeo
60,6000,0.8,1708.0,6,vimeo
61,6100,0.6666666666666666,1708.0,6,vimeo
62,6200,0.75,1708.0,6,vimeo
63,6300,0.8,1708.0,6,vimeo
64,6400,0.9,1708.0,6,vimeo
65,6500,0.6923076923076923,1708.0,6,vimeo
66,6600,,,6,vimeo
67,6700,,1708.0,6,vimeo
68,6800,0.7692307692307693,1708.0,6,vimeo
69,6900,,,6,vimeo
70,7000,,1708.0,6,vimeo
71,7100,0.7142857142857143,1708.0,6,vimeo
72,7200,0.7692307692307693,1708.0,6,vimeo
73,7300,0.9090909090909092,1708.0,6,vimeo
74,7400,,,6,vimeo
75,7500,,1708.0,6,vimeo
76,7600,,,6,vimeo
77,7700,,1708.0,6,vimeo
78,7800,0.7272727272727273,1708.0,6,vimeo
79,7900,0.8333333333333334,1708.0,6,vimeo
80,8000,0.7,1708.0,6,vimeo
0,0,,1708.0,6,vimeo
1,100,,,6,vimeo
2,200,,1209.0,6,vimeo
3,300,0.6470588235294118,1708.0,6,vimeo
4,400,0.8181818181818182,1708.0,6,vimeo
5,500,0.8,1708.0,6,vimeo
6,600,,,6,vimeo
7,700,,1708.0,6,vimeo
8,800,0.8666666666666667,1708.0,6,vimeo
9,900,0.8333333333333334,1708.0,6,vimeo
10,1000,0.8,1708.0,6,vimeo
11,1100,,,6,vimeo
12,1200,,1708.0,6,vimeo
13,1300,,,6,vimeo
14,1400,,1708.0,6,vimeo
15,1500,0.9090909090909092,1708.0,6,vimeo
16,1600,0.9230769230769232,1708.0,6,vimeo
17,1700,,,6,vimeo
18,1800,,1708.0,6,vimeo
19,1900,0.8666666666666667,1708.0,6,vimeo
20,2000,0.9285714285714286,1708.0,6,vimeo
21,2100,,,6,vimeo
22,2200,,1708.0,6,vimeo
23,2300,,,6,vimeo
24,2400,,1708.0,6,vimeo
25,2500,0.8333333333333334,1708.0,6,vimeo
26,2600,0.7272727272727273,1708.0,6,vimeo
27,2700,0.625,1708.0,6,vimeo
28,2800,0.8,1708.0,6,vimeo
29,2900,0.8571428571428571,1708.0,6,vimeo
30,3000,0.875,1708.0,6,vimeo
31,3100,0.9,1708.0,6,vimeo
32,3200,0.9285714285714286,1708.0,6,vimeo
33,3300,,,6,vimeo
34,3400,,1708.0,6,vimeo
35,3500,0.5,1708.0,6,vimeo
36,3600,,,6,vimeo
37,3700,,1708.0,6,vimeo
38,3800,0.6923076923076923,1708.0,6,vimeo
39,3900,0.9090909090909092,1708.0,6,vimeo
40,4000,0.7,1708.0,6,vimeo
41,4100,0.8461538461538461,1708.0,6,vimeo
42,4200,0.8181818181818182,1708.0,6,vimeo
43,4300,,,6,vimeo
44,4400,,1708.0,6,vimeo
45,4500,0.6666666666666666,1708.0,6,vimeo
46,4600,0.6363636363636364,1708.0,6,vimeo
47,4700,0.8,1708.0,6,vimeo
48,4800,0.8888888888888888,1708.0,6,vimeo
49,4900,0.8,1708.0,6,vimeo
50,5000,0.8888888888888888,1708.0,6,vimeo
51,5100,0.7,1708.0,6,vimeo
52,5200,0.9,1708.0,6,vimeo
53,5300,0.8333333333333334,1708.0,6,vimeo
54,5400,0.8888888888888888,1708.0,6,vimeo
55,5500,0.6666666666666666,1708.0,6,vimeo
56,5600,,,6,vimeo
57,5700,,1708.0,6,vimeo
58,5800,0.7,1708.0,6,vimeo
59,5900,0.8,1708.0,6,vimeo
60,6000,0.8,1708.0,6,vimeo
61,6100,0.8181818181818182,1708.0,6,vimeo
62,6200,,,6,vimeo
63,6300,,1708.0,6,vimeo
64,6400,0.6363636363636364,1708.0,6,vimeo
65,6500,,,6,vimeo
66,6600,,1708.0,6,vimeo
67,6700,0.8571428571428571,1708.0,6,vimeo
68,6800,,,6,vimeo
69,6900,,1708.0,6,vimeo
70,7000,0.7857142857142857,1708.0,6,vimeo
71,7100,0.75,1708.0,6,vimeo
72,7200,0.9090909090909092,1708.0,6,vimeo
73,7300,0.8461538461538461,1708.0,6,vimeo
74,7400,,,6,vimeo
75,7500,,1708.0,6,vimeo
76,7600,,,6,vimeo
77,7700,,1708.0,6,vimeo
78,7800,0.8181818181818182,1708.0,6,vimeo
79,7900,0.8181818181818182,1708.0,6,vimeo
80,8000,0.8,1708.0,6,vimeo
0,0,,1708.0,6,vimeo
1,100,1.0,1708.0,6,vimeo
2,200,0.7777777777777778,1708.0,6,vimeo
3,300,,,6,vimeo
4,400,,1708.0,6,vimeo
5,500,0.8333333333333334,1708.0,6,vimeo
6,600,0.8888888888888888,1708.0,6,vimeo
7,700,0.6363636363636364,1708.0,6,vimeo
8,800,0.8,1708.0,6,vimeo
9,900,1.0,1708.0,6,vimeo
10,1000,,,6,vimeo
11,1100,,1708.0,6,vimeo
12,1200,0.6428571428571429,1708.0,6,vimeo
13,1300,1.0,1708.0,6,vimeo
14,1400,,,6,vimeo
15,1500,,1708.0,6,vimeo
16,1600,0.75,1708.0,6,vimeo
17,1700,0.7692307692307693,1708.0,6,vimeo
18,1800,,,6,vimeo
19,1900,,1708.0,6,vimeo
20,2000,0.9285714285714286,1708.0,6,vimeo
21,2100,,,6,vimeo
