,time[ms],cpu_load,cpu_scaling_freq,cpu,sitename
3,300,,,6,ask
4,400,,1708.0,6,ask
5,500,,,6,ask
6,600,,1708.0,6,ask
7,700,0.7777777777777778,1708.0,6,ask
8,800,0.6666666666666666,1708.0,6,ask
9,900,,,6,ask
10,1000,,1708.0,6,ask
11,1100,0.8333333333333334,1708.0,6,ask
12,1200,0.8461538461538461,1708.0,6,ask
13,1300,0.7692307692307693,1708.0,6,ask
14,1400,0.8181818181818182,1708.0,6,ask
15,1500,,,6,ask
16,1600,,1708.0,6,ask
17,1700,0.7142857142857143,1708.0,6,ask
18,1800,0.9,1708.0,6,ask
19,1900,0.6666666666666666,1708.0,6,ask
20,2000,0.6363636363636364,1708.0,6,ask
21,2100,,,6,ask
22,2200,,1708.0,6,ask
23,2300,0.8461538461538461,1708.0,6,ask
24,2400,0.8181818181818182,1708.0,6,ask
25,2500,0.8181818181818182,1708.0,6,ask
26,2600,,,6,ask
27,2700,,1708.0,6,ask
28,2800,0.5263157894736842,1708.0,6,ask
29,2900,0.7777777777777778,1708.0,6,ask
30,3000,0.8333333333333334,1708.0,6,ask
31,3100,0.8888888888888888,1708.0,6,ask
32,3200,,,6,ask
33,3300,,1708.0,6,ask
34,3400,,,6,ask
35,3500,,1708.0,6,ask
36,3600,0.8571428571428571,1708.0,6,ask
37,3700,,,6,ask
38,3800,,1708.0,6,ask
39,3900,0.6666666666666666,1708.0,6,ask
40,4000,0.8181818181818182,1708.0,6,ask
41,4100,0.8181818181818182,1708.0,6,ask
42,4200,0.8461538461538461,1708.0,6,ask
43,4300,,,6,ask
44,4400,,1708.0,6,ask
45,4500,0.75,1708.0,6,ask
46,4600,0.8333333333333334,1708.0,6,ask
47,4700,0.9230769230769232,1708.0,6,ask
48,4800,,,6,ask
49,4900,,1708.0,6,ask
50,5000,0.8333333333333334,1708.0,6,ask
51,5100,0.9,1516.0,6,ask
52,5200,0.8333333333333334,1708.0,6,ask
53,5300,0.8333333333333334,1708.0,6,ask
54,5400,0.8181818181818182,1708.0,6,ask
55,5500,,,6,ask
56,5600,,1708.0,6,ask
57,5700,0.8571428571428571,1708.0,6,ask
58,5800,0.7692307692307693,1708.0,6,ask
59,5900,0.7333333333333333,1708.0,6,ask
60,6000,,,6,ask
61,6100,,1708.0,6,ask
62,6200,0.8181818181818182,1708.0,6,ask
63,6300,0.8,1708.0,6,ask
64,6400,0.8333333333333334,1708.0,6,ask
65,6500,0.8,1708.0,6,ask
66,6600,0.75,1708.0,6,ask
67,6700,0.7272727272727273,1708.0,6,ask
68,6800,,,6,ask
69,6900,,1708.0,6,ask
70,7000,0.6190476190476191,1708.0,6,ask
71,7100,0.8181818181818182,1708.0,6,ask
72,7200,0.8181818181818182,1708.0,6,ask
73,7300,0.8181818181818182,1708.0,6,ask
74,7400,0.7,1708.0,6,ask
75,7500,0.7142857142857143,1708.0,6,ask
76,7600,0.75,1708.0,6,ask
77,7700,,,6,ask
78,7800,,1708.0,6,ask
0,0,,1708.0,6,ask
1,100,1.0,1708.0,6,ask
2,200,0.9166666666666666,1708.0,6,ask
3,300,,,6,ask
4,400,,1612.0,6,ask
5,500,0.7647058823529411,1708.0,6,ask
6,600,0.8571428571428571,1708.0,6,ask
7,700,1.0,1708.0,6,ask
8,800,0.8333333333333334,1708.0,6,ask
9,900,0.7142857142857143,1708.0,6,ask
10,1000,0.8888888888888888,1708.0,6,ask
11,1100,0.7777777777777778,1708.0,6,ask
12,1200,0.8,1708.0,6,ask
13,1300,,,6,ask
14,1400,,1708.0,6,ask
15,1500,0.75,1708.0,6,ask
16,1600,0.8,1708.0,6,ask
17,1700,,,6,ask
18,1800,,1708.0,6,ask
19,1900,0.7692307692307693,1708.0,6,ask
20,2000,0.8709677419354839,1708.0,6,ask
21,2100,,,6,ask
22,2200,,1708.0,6,ask
23,2300,0.7777777777777778,1708.0,6,ask
24,2400,0.9166666666666666,1708.0,6,ask
25,2500,0.7333333333333333,1708.0,6,ask
26,2600,0.7272727272727273,1708.0,6,ask
27,2700,,,6,ask
28,2800,,1708.0,6,ask
29,2900,0.9166666666666666,1708.0,6,ask
30,3000,0.8333333333333334,1708.0,6,ask
31,3100,0.8,1708.0,6,ask
32,3200,0.9,1708.0,6,ask
33,3300,0.6428571428571429,1708.0,6,ask
34,3400,,,6,ask
35,3500,,1708.0,6,ask
36,3600,0.6666666666666666,1708.0,6,ask
37,3700,0.7,1708.0,6,ask
38,3800,0.8620689655172413,1708.0,6,ask
39,3900,0.8620689655172413,1708.0,6,ask
40,4000,0.625,1708.0,6,ask
41,4100,0.8,1708.0,6,ask
42,4200,0.9,1708.0,6,ask
43,4300,0.8181818181818182,1708.0,6,ask
44,4400,,,6,ask
45,4500,,1708.0,6,ask
46,4600,0.7,1708.0,6,ask
47,4700,0.75,1708.0,6,ask
48,4800,0.7333333333333333,1708.0,6,ask
49,4900,,,6,ask
50,5000,,1708.0,6,ask
51,5100,0.8965517241379308,1708.0,6,ask
52,5200,,,6,ask
53,5300,,1708.0,6,ask
54,5400,0.9090909090909092,1708.0,6,ask
55,5500,0.7272727272727273,1708.0,6,ask
56,5600,0.5,1708.0,6,ask
57,5700,0.8181818181818182,1708.0,6,ask
58,5800,0.6363636363636364,1708.0,6,ask
59,5900,0.8,1708.0,6,ask
60,6000,0.7777777777777778,1708.0,6,ask
61,6100,,,6,ask
62,6200,,1708.0,6,ask
63,6300,0.75,1708.0,6,ask
64,6400,0.8181818181818182,1708.0,6,ask
65,6500,0.8571428571428571,1708.0,6,ask
66,6600,,,6,ask
67,6700,,1708.0,6,ask
68,6800,0.7692307692307693,1708.0,6,ask
69,6900,0.8333333333333334,1708.0,6,ask
70,7000,,,6,ask
71,7100,,1708.0,6,ask
72,7200,0.7272727272727273,1708.0,6,ask
73,7300,0.7142857142857143,1708.0,6,ask
74,7400,0.75,1708.0,6,ask
75,7500,0.75,1708.0,6,ask
76,7600,,,6,ask
77,7700,,1708.0,6,ask
78,7800,0.6470588235294118,1708.0,6,ask
79,7900,0.6153846153846154,1708.0,6,ask
0,0,,1708.0,6,ask
1,100,0.8666666666666667,1708.0,6,ask
2,200,0.7777777777777778,1708.0,6,ask
3,300,0.7777777777777778,1708.0,6,ask
4,400,0.6666666666666666,1708.0,6,ask
5,500,0.6363636363636364,1708.0,6,ask
6,600,0.9090909090909092,1708.0,6,ask
7,700,,,6,ask
8,800,,1708.0,6,ask
9,900,0.8666666666666667,1708.0,6,ask
10,1000,0.9,1708.0,6,ask
11,1100,0.8571428571428571,1708.0,6,ask
12,1200,0.8461538461538461,1708.0,6,ask
13,1300,0.8,1708.0,6,ask
14,1400,0.7777777777777778,1708.0,6,ask
15,1500,0.7692307692307693,1708.0,6,ask
16,1600,,,6,ask
17,1700,,1708.0,6,ask
18,1800,0.8333333333333334,1708.0,6,ask
19,1900,0.875,1708.0,6,ask
20,2000,0.8181818181818182,1708.0,6,ask
21,2100,0.8181818181818182,1708.0,6,ask
22,2200,0.7,1708.0,6,ask
23,2300,0.7857142857142857,1708.0,6,ask
24,2400,0.8181818181818182,1708.0,6,ask
25,2500,0.8,1708.0,6,ask
26,2600,0.7777777777777778,1708.0,6,ask
27,2700,0.8333333333333334,1708.0,6,ask
28,2800,0.8,1708.0,6,ask
29,2900,,,6,ask
30,3000,,1708.0,6,ask
31,3100,0.9090909090909092,1708.0,6,ask
32,3200,0.9,1708.0,6,ask
33,3300,0.8461538461538461,1708.0,6,ask
34,3400,0.8181818181818182,1708.0,6,ask
35,3500,0.75,1708.0,6,ask
36,3600,0.875,1708.0,6,ask
37,3700,0.7,1708.0,6,ask
38,3800,0.7142857142857143,1708.0,6,ask
39,3900,0.8181818181818182,1708.0,6,ask
40,4000,,,6,ask
41,4100,,1708.0,6,ask
42,4200,0.9,1708.0,6,ask
43,4300,0.6923076923076923,1708.0,6,ask
44,4400,0.5555555555555556,1708.0,6,ask
45,4500,0.8181818181818182,1708.0,6,ask
46,4600,0.8,1708.0,6,ask
47,4700,0.875,1708.0,6,ask
48,4800,0.7,1708.0,6,ask
49,4900,0.8181818181818182,1708.0,6,ask
50,5000,0.8181818181818182,1708.0,6,ask
51,5100,0.75,1708.0,6,ask
52,5200,0.8333333333333334,1708.0,6,ask
53,5300,,,6,ask
54,5400,,1708.0,6,ask
55,5500,0.9230769230769232,1708.0,6,ask
56,5600,0.8333333333333334,1708.0,6,ask
57,5700,0.8888888888888888,1708.0,6,ask
58,5800,0.8,1708.0,6,ask
59,5900,0.7272727272727273,1708.0,6,ask
60,6000,0.9166666666666666,1708.0,6,ask
61,6100,0.7777777777777778,1708.0,6,ask
62,6200,0.8333333333333334,1708.0,6,ask
63,6300,,,6,ask
64,6400,,1708.0,6,ask
65,6500,0.7692307692307693,1708.0,6,ask
66,6600,0.9,1708.0,6,ask
67,6700,0.8181818181818182,1708.0,6,ask
68,6800,0.8,1708.0,6,ask
69,6900,0.8888888888888888,1708.0,6,ask
70,7000,0.7,1708.0,6,ask
71,7100,0.6666666666666666,1708.0,6,ask
72,7200,0.8181818181818182,1708.0,6,ask
73,7300,0.7,1708.0,6,ask
74,7400,0.7272727272727273,1708.0,6,ask
75,7500,0.8,1708.0,6,ask
76,7600,0.875,1708.0,6,ask
77,7700,0.8181818181818182,1708.0,6,ask
78,7800,0.7692307692307693,1708.0,6,ask
79,7900,0.7692307692307693,1708.0,6,ask
0,0,,1708.0,6,ask
1,100,1.0,1708.0,6,ask
2,200,0.75,1708.0,6,ask
3,300,1.0,1708.0,6,ask
4,400,1.0,1708.0,6,ask
5,500,,,6,ask
6,600,,1708.0,6,ask
7,700,0.8181818181818182,1708.0,6,ask
8,800,0.8461538461538461,1708.0,6,ask
9,900,0.9166666666666666,1708.0,6,ask
10,1000,0.8,1708.0,6,ask
11,1100,0.7,1708.0,6,ask
12,1200,0.9,1708.0,6,ask
13,1300,0.7692307692307693,1708.0,6,ask
14,1400,,,6,ask
15,1500,,1708.0,6,ask
16,1600,0.8571428571428571,1708.0,6,ask
17,1700,,,6,ask
18,1800,,1708.0,6,ask
19,1900,0.7142857142857143,1708.0,6,ask
20,2000,0.9,1324.0,6,ask
21,2100,0.7692307692307693,1708.0,6,ask
22,2200,,,6,ask
23,2300,,1708.0,6,ask
24,2400,0.5,1708.0,6,ask
25,2500,0.8571428571428571,1708.0,6,ask
26,2600,0.75,1708.0,6,ask
27,2700,0.8333333333333334,1708.0,6,ask
28,2800,0.8888888888888888,1708.0,6,ask
29,2900,0.7,1708.0,6,ask
30,3000,0.7272727272727273,1708.0,6,ask
31,3100,0.75,1708.0,6,ask
32,3200,,,6,ask
33,3300,,1708.0,6,ask
34,3400,0.8125,1708.0,6,ask
35,3500,0.8,1708.0,6,ask
36,3600,0.8571428571428571,1708.0,6,ask
37,3700,,,6,ask
38,3800,,1708.0,6,ask
39,3900,0.8333333333333334,1708.0,6,ask
40,4000,0.8,1708.0,6,ask
41,4100,0.8333333333333334,1708.0,6,ask
42,4200,0.8181818181818182,1708.0,6,ask
43,4300,0.9,1708.0,6,ask
44,4400,0.7,1708.0,6,ask
45,4500,0.8333333333333334,1708.0,6,ask
46,4600,0.9166666666666666,1708.0,6,ask
47,4700,0.8181818181818182,1708.0,6,ask
48,4800,0.7777777777777778,1708.0,6,ask
49,4900,0.6666666666666666,1708.0,6,ask
50,5000,0.5454545454545454,1708.0,6,ask
51,5100,,,6,ask
52,5200,,1708.0,6,ask
53,5300,0.7692307692307693,1708.0,6,ask
54,5400,0.7272727272727273,1708.0,6,ask
55,5500,0.7,1708.0,6,ask
56,5600,0.9,1708.0,6,ask
57,5700,0.8333333333333334,1708.0,6,ask
58,5800,0.8888888888888888,1708.0,6,ask
59,5900,0.7272727272727273,1708.0,6,ask
60,6000,,,6,ask
61,6100,,,6,ask
62,6200,,,6,ask
63,6300,,,6,ask
64,6400,,,6,ask
65,6500,,,6,ask
66,6600,,,6,ask
67,6700,,1708.0,6,ask
68,6800,,,6,ask
69,6900,,1708.0,6,ask
70,7000,0.8181818181818182,1708.0,6,ask
71,7100,0.8888888888888888,1708.0,6,ask
72,7200,0.8333333333333334,1708.0,6,ask
73,7300,0.7142857142857143,1708.0,6,ask
74,7400,,,6,ask
75,7500,,1708.0,6,ask
76,7600,0.7,1708.0,6,ask
77,7700,0.7,1708.0,6,ask
78,7800,,,6,ask
79,7900,,1708.0,6,ask
80,8000,0.4090909090909091,1708.0,6,ask
0,0,,1708.0,6,ask
1,100,0.8888888888888888,1708.0,6,ask
2,200,,,6,ask
3,300,,1708.0,6,ask
4,400,0.9375,1708.0,6,ask
5,500,0.8888888888888888,1708.0,6,ask
6,600,,,6,ask
7,700,,1708.0,6,ask
8,800,0.8181818181818182,1708.0,6,ask
9,900,,,6,ask
10,1000,,1708.0,6,ask
11,1100,0.9,1708.0,6,ask
12,1200,0.8461538461538461,1708.0,6,ask
13,1300,0.7777777777777778,1708.0,6,ask
14,1400,,,6,ask
15,1500,,1708.0,6,ask
16,1600,0.8571428571428571,1708.0,6,ask
17,1700,0.8181818181818182,1516.0,6,ask
18,1800,0.8,1708.0,6,ask
19,1900,,,6,ask
20,2000,,1708.0,6,ask
21,2100,0.7272727272727273,1708.0,6,ask
22,2200,0.8181818181818182,1708.0,6,ask
23,2300,0.8181818181818182,1708.0,6,ask
24,2400,0.7692307692307693,1708.0,6,ask
25,2500,0.9090909090909092,1708.0,6,ask
26,2600,0.8888888888888888,1708.0,6,ask
27,2700,0.8181818181818182,1708.0,6,ask
28,2800,,,6,ask
29,2900,,1708.0,6,ask
30,3000,,,6,ask
31,3100,,1708.0,6,ask
32,3200,0.7692307692307693,1708.0,6,ask
33,3300,0.9,1708.0,6,ask
34,3400,0.7777777777777778,1708.0,6,ask
35,3500,0.8333333333333334,1708.0,6,ask
36,3600,0.8,1708.0,6,ask
37,3700,0.75,1708.0,6,ask
38,3800,0.8333333333333334,1708.0,6,ask
39,3900,,,6,ask
40,4000,,1708.0,6,ask
41,4100,0.7058823529411765,1708.0,6,ask
42,4200,0.8,1708.0,6,ask
43,4300,0.8888888888888888,1708.0,6,ask
44,4400,0.8333333333333334,1708.0,6,ask
45,4500,,,6,ask
46,4600,,1708.0,6,ask
47,4700,0.8571428571428571,1708.0,6,ask
48,4800,0.7,1708.0,6,ask
49,4900,1.0,1708.0,6,ask
50,5000,0.8,1708.0,6,ask
51,5100,0.875,1708.0,6,ask
52,5200,0.7272727272727273,1708.0,6,ask
53,5300,0.7,1708.0,6,ask
54,5400,0.75,1708.0,6,ask
55,5500,0.9090909090909092,1708.0,6,ask
56,5600,,,6,ask
57,5700,,1708.0,6,ask
58,5800,0.7142857142857143,1708.0,6,ask
59,5900,0.8,1708.0,6,ask
60,6000,0.8181818181818182,1708.0,6,ask
61,6100,0.6470588235294118,1708.0,6,ask
62,6200,0.75,1708.0,6,ask
63,6300,,,6,ask
64,6400,,1708.0,6,ask
65,6500,0.9166666666666666,1708.0,6,ask
66,6600,0.7272727272727273,1708.0,6,ask
67,6700,0.9,1708.0,6,ask
